power 1 (W),time (seconds since jan 1 1975),power 2 (W),time (seconds since jan 1 1975),Sdifference
1.24E-09,1750358261,3.51E-09,1750358261,-4.78E-01
1.23E-09,1750358261,3.51E-09,1750358261,-4.81E-01
1.23E-09,1750358261,3.51E-09,1750358261,-4.81E-01
1.23E-09,1750358261,3.51E-09,1750358261,-4.81E-01
1.23E-09,1750358261,3.51E-09,1750358261,-4.81E-01
1.23E-09,1750358261,3.50E-09,1750358261,-4.80E-01
1.23E-09,1750358261,3.50E-09,1750358261,-4.80E-01
1.23E-09,1750358261,3.50E-09,1750358261,-4.80E-01
1.23E-09,1750358261,3.50E-09,1750358261,-4.80E-01
1.23E-09,1750358262,3.49E-09,1750358261,-4.79E-01
1.23E-09,1750358262,3.49E-09,1750358262,-4.79E-01
1.23E-09,1750358262,3.49E-09,1750358262,-4.79E-01
1.23E-09,1750358262,3.49E-09,1750358262,-4.79E-01
1.23E-09,1750358262,3.48E-09,1750358262,-4.78E-01
1.23E-09,1750358262,3.48E-09,1750358262,-4.78E-01
1.23E-09,1750358262,3.48E-09,1750358262,-4.78E-01
1.22E-09,1750358262,3.48E-09,1750358262,-4.81E-01
1.22E-09,1750358262,3.48E-09,1750358262,-4.81E-01
1.22E-09,1750358262,3.48E-09,1750358262,-4.81E-01
1.22E-09,1750358262,3.48E-09,1750358262,-4.81E-01
1.21E-09,1750358262,3.49E-09,1750358262,-4.85E-01
1.21E-09,1750358262,3.49E-09,1750358262,-4.85E-01
1.21E-09,1750358262,3.49E-09,1750358262,-4.85E-01
1.20E-09,1750358263,3.48E-09,1750358262,-4.87E-01
1.20E-09,1750358263,3.47E-09,1750358262,-4.86E-01
1.20E-09,1750358263,3.45E-09,1750358263,-4.84E-01
1.19E-09,1750358263,3.44E-09,1750358263,-4.86E-01
1.19E-09,1750358263,3.42E-09,1750358263,-4.84E-01
1.19E-09,1750358263,3.40E-09,1750358263,-4.81E-01
1.18E-09,1750358263,3.38E-09,1750358263,-4.82E-01
1.18E-09,1750358263,3.36E-09,1750358263,-4.80E-01
1.17E-09,1750358263,3.33E-09,1750358263,-4.80E-01
1.16E-09,1750358263,3.28E-09,1750358263,-4.77E-01
1.16E-09,1750358263,3.25E-09,1750358263,-4.74E-01
1.15E-09,1750358263,3.23E-09,1750358263,-4.75E-01
1.14E-09,1750358263,3.20E-09,1750358263,-4.75E-01
1.14E-09,1750358263,3.16E-09,1750358263,-4.70E-01
1.13E-09,1750358263,3.13E-09,1750358263,-4.69E-01
1.12E-09,1750358264,3.09E-09,1750358263,-4.68E-01
1.11E-09,1750358264,3.05E-09,1750358264,-4.66E-01
1.11E-09,1750358264,3.01E-09,1750358264,-4.61E-01
1.10E-09,1750358264,2.96E-09,1750358264,-4.58E-01
1.08E-09,1750358264,2.90E-09,1750358264,-4.57E-01
