power 1 (W),time (seconds since jan 1 1975),power 2 (W),time (seconds since jan 1 1975),
2.12E-05,1750367659,3.46E-05,1750367659,-2.40E-01
2.12E-05,1750367659,3.46E-05,1750367659,-2.40E-01
2.12E-05,1750367659,3.46E-05,1750367659,-2.40E-01
2.12E-05,1750367659,3.46E-05,1750367659,-2.40E-01
2.12E-05,1750367659,3.46E-05,1750367659,-2.40E-01
2.12E-05,1750367659,3.46E-05,1750367659,-2.40E-01
2.12E-05,1750367659,3.47E-05,1750367659,-2.42E-01
2.12E-05,1750367659,3.46E-05,1750367659,-2.40E-01
2.12E-05,1750367659,3.47E-05,1750367659,-2.42E-01
2.12E-05,1750367659,3.47E-05,1750367659,-2.42E-01
2.12E-05,1750367659,3.47E-05,1750367659,-2.42E-01
2.12E-05,1750367659,3.47E-05,1750367659,-2.42E-01
2.12E-05,1750367659,3.47E-05,1750367659,-2.42E-01
2.12E-05,1750367659,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.47E-05,1750367660,-2.42E-01
2.12E-05,1750367660,3.48E-05,1750367660,-2.43E-01
2.12E-05,1750367660,3.48E-05,1750367660,-2.43E-01
2.12E-05,1750367660,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.11E-05,1750367661,3.49E-05,1750367661,-2.46E-01
2.11E-05,1750367661,3.49E-05,1750367661,-2.46E-01
2.11E-05,1750367661,3.49E-05,1750367661,-2.46E-01
2.11E-05,1750367661,3.49E-05,1750367661,-2.46E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367661,-2.43E-01
2.12E-05,1750367661,3.48E-05,1750367662,-2.43E-01
2.12E-05,1750367662,3.48E-05,1750367662,-2.43E-01
2.12E-05,1750367662,3.48E-05,1750367662,-2.43E-01
2.12E-05,1750367662,3.48E-05,1750367662,-2.43E-01
2.12E-05,1750367662,3.48E-05,1750367662,-2.43E-01
2.12E-05,1750367662,3.48E-05,1750367662,-2.43E-01
2.11E-05,1750367662,3.48E-05,1750367662,-2.45E-01
2.11E-05,1750367662,3.48E-05,1750367662,-2.45E-01
2.11E-05,1750367662,3.48E-05,1750367662,-2.45E-01
2.11E-05,1750367662,3.48E-05,1750367662,-2.45E-01
2.11E-05,1750367662,3.48E-05,1750367662,-2.45E-01
2.11E-05,1750367662,3.49E-05,1750367662,-2.46E-01
2.10E-05,1750367662,3.49E-05,1750367662,-2.49E-01
2.10E-05,1750367662,3.49E-05,1750367662,-2.49E-01
2.10E-05,1750367662,3.49E-05,1750367662,-2.49E-01
2.10E-05,1750367663,3.49E-05,1750367663,-2.49E-01
2.10E-05,1750367663,3.49E-05,1750367663,-2.49E-01
2.10E-05,1750367663,3.49E-05,1750367663,-2.49E-01
2.10E-05,1750367663,3.49E-05,1750367663,-2.49E-01
2.10E-05,1750367663,3.48E-05,1750367663,-2.47E-01
2.10E-05,1750367663,3.48E-05,1750367663,-2.47E-01
2.10E-05,1750367663,3.48E-05,1750367663,-2.47E-01
2.10E-05,1750367663,3.48E-05,1750367663,-2.47E-01
2.10E-05,1750367663,3.48E-05,1750367663,-2.47E-01
2.11E-05,1750367663,3.48E-05,1750367663,-2.45E-01
2.10E-05,1750367663,3.48E-05,1750367663,-2.47E-01
2.11E-05,1750367663,3.49E-05,1750367663,-2.46E-01
2.11E-05,1750367663,3.49E-05,1750367663,-2.46E-01
2.10E-05,1750367663,3.49E-05,1750367663,-2.49E-01
2.11E-05,1750367663,3.49E-05,1750367663,-2.46E-01
2.10E-05,1750367664,3.49E-05,1750367664,-2.49E-01
2.10E-05,1750367664,3.49E-05,1750367664,-2.49E-01
2.11E-05,1750367664,3.50E-05,1750367664,-2.48E-01
