time (s),strain (mm/mm),phase (pi radians)
4.566944000000000004e-01,8.649515151515152836e-03,0.000000000000000000e+00
4.551589999999999803e-01,8.620435606060605424e-03,2.936078084836424296e-05
4.547956000000000221e-01,8.613553030303030406e-03,6.228452754397650892e-05
4.524696000000000273e-01,8.569500000000000728e-03,7.372339732691912673e-05
4.532864999999999811e-01,8.584971590909089290e-03,-4.363748771007980309e-05
4.537726000000000259e-01,8.594178030303030111e-03,2.526393765756029808e-05
4.527675999999999923e-01,8.575143939393937986e-03,5.227790486295180727e-05
4.546743999999999786e-01,8.611257575757574195e-03,3.978650989000520610e-05
4.518685000000000063e-01,8.558115530303030474e-03,2.749361100640168587e-05
4.561946000000000057e-01,8.640049242424242479e-03,6.605999682651741978e-05
4.538801000000000085e-01,8.596214015151516785e-03,1.060084952083650833e-04
4.542471000000000148e-01,8.603164772727274479e-03,6.319799494725053535e-05
4.546575999999999951e-01,8.610939393939393005e-03,5.817955361486770727e-05
4.524253999999999776e-01,8.568662878787878731e-03,1.680555126361005236e-04
4.520924000000000054e-01,8.562356060606060235e-03,1.446930218796937950e-04
4.491274000000000099e-01,8.506200757575757554e-03,2.001382042019494989e-04
4.548922000000000243e-01,8.615382575757576586e-03,1.769527981189122912e-04
4.549730000000000163e-01,8.616912878787878413e-03,1.729941603556550689e-04
4.529387999999999748e-01,8.578386363636362685e-03,1.645888337504786136e-04
4.513681999999999972e-01,8.548640151515150831e-03,2.268169701216127265e-04
4.531884999999999941e-01,8.583115530303029456e-03,1.539386467644954237e-04
4.518934000000000006e-01,8.558587121212121382e-03,7.058135597481918211e-05
4.528182000000000040e-01,8.576102272727271700e-03,1.259319142158377147e-04
4.527236000000000038e-01,8.574310606060606132e-03,1.812273419191656743e-04
4.522901999999999756e-01,8.566102272727272107e-03,1.043045342687953791e-04
4.533930999999999933e-01,8.586990530303029862e-03,1.416929523136989388e-04
4.536379999999999857e-01,8.591628787878788712e-03,1.686896512673730086e-04
4.542186999999999752e-01,8.602626893939393365e-03,1.340476273735680124e-04
4.550443000000000127e-01,8.618263257575758604e-03,2.244319261346383598e-04
4.547514999999999752e-01,8.612717803030302613e-03,2.544670191917397517e-04
4.548595999999999751e-01,8.614765151515151043e-03,2.870546385191907746e-04
4.544439000000000117e-01,8.606892045454546045e-03,2.539696855377027163e-04
4.536317999999999739e-01,8.591511363636363668e-03,2.924475564176631792e-04
4.531132999999999966e-01,8.581691287878787447e-03,3.458888822560624021e-04
4.532513000000000236e-01,8.584304924242424847e-03,3.163293912140652253e-04
4.476326999999999945e-01,8.477892045454545403e-03,4.402097779686586776e-04
4.503328999999999804e-01,8.529032196969696389e-03,4.753672982112933099e-04
4.425509000000000248e-01,8.381645833333332962e-03,4.891707466048167419e-04
4.438182999999999989e-01,8.405649621212121086e-03,5.609975628081409482e-04
4.436147999999999758e-01,8.401795454545455191e-03,5.496394185288133727e-04
4.431138000000000021e-01,8.392306818181817854e-03,5.334892630112220147e-04
4.406233999999999984e-01,8.345140151515152011e-03,5.282047505148490529e-04
4.386372000000000049e-01,8.307522727272727628e-03,5.504397360445167919e-04
4.391722000000000126e-01,8.317655303030304162e-03,5.110670247410187272e-04
4.385010999999999770e-01,8.304945075757574902e-03,4.521473282201871058e-04
4.377519000000000271e-01,8.290755681818182121e-03,3.980482497357717975e-04
4.383962000000000137e-01,8.302958333333334065e-03,4.023498986874818328e-04
4.355829999999999980e-01,8.249678030303030790e-03,2.511288108468789915e-04
4.392450999999999994e-01,8.319035984848484680e-03,2.189130134413463935e-04
4.403525999999999829e-01,8.340011363636363681e-03,1.789197577537482431e-04
4.418152000000000190e-01,8.367712121212121310e-03,1.455568594089795553e-04
4.417009000000000074e-01,8.365547348484847837e-03,1.840106541263208939e-04
4.406277000000000110e-01,8.345221590909090645e-03,2.310193426282580731e-04
4.404100000000000237e-01,8.341098484848485928e-03,2.037676686043043972e-04
4.385555999999999899e-01,8.305977272727272168e-03,3.553914387951495613e-04
4.389524000000000203e-01,8.313492424242424628e-03,3.249654271052504484e-04
4.355074999999999918e-01,8.248248106060606169e-03,3.557463295369434064e-04
4.352772999999999781e-01,8.243888257575757161e-03,3.598142570397921958e-04
4.346121000000000012e-01,8.231289772727272067e-03,3.531222340149575700e-04
4.348052000000000028e-01,8.234946969696970223e-03,3.061254370385624313e-04
4.370458999999999872e-01,8.277384469696969296e-03,2.187477230447543164e-04
4.376713999999999882e-01,8.289231060606061172e-03,1.524248617885692880e-04
4.372642999999999947e-01,8.281520833333333442e-03,1.160542070184344965e-04
4.369062000000000223e-01,8.274738636363637365e-03,1.862252479277737294e-04
4.385472000000000259e-01,8.305818181818183307e-03,1.954940410011651863e-04
