Trial 1power 1 (W),time (seconds since jan 1 1975),Trial 1power 2 (W),time (seconds since jan 1 1975),trial 1 position (mm),time (seconds since jan 1 1975),Trial 2power 1 (W),time (seconds since jan 1 1975),Trial 2power 2 (W),time (seconds since jan 1 1975),Trial  2position (mm),time (seconds since jan 1 1975),Trial 3 power 1 (W),time (seconds since jan 1 1975),Trial 3 power 2 (W),time (seconds since jan 1 1975),Trial 3position (mm),time (seconds since jan 1 1975),P1Avg,P2Avg,Sdifference
2.13E-05,1750366592,3.45E-05,1750366592,6.00001545,1750366592,2.14E-05,1750366807,3.45E-05,1750366807,5.99087806,1750366807,2.11E-05,1750367002,3.48E-05,1750367002,5.99092144,1750367002,2.13E-05,3.46E-05,-2.39E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.00159136,1750366592,2.13E-05,1750366807,3.45E-05,1750366807,5.99246843,1750366807,2.11E-05,1750367002,3.48E-05,1750367002,5.99274313,1750367002,2.12E-05,3.46E-05,-2.39E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.00481548,1750366592,2.13E-05,1750366807,3.45E-05,1750366807,5.99575037,1750366807,2.11E-05,1750367002,3.48E-05,1750367002,5.99601062,1750367002,2.12E-05,3.46E-05,-2.39E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.00798176,1750366592,2.13E-05,1750366807,3.45E-05,1750366807,5.99887328,1750366807,2.11E-05,1750367002,3.48E-05,1750367002,5.99904677,1750367002,2.12E-05,3.46E-05,-2.39E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.01133599,1750366592,2.13E-05,1750366807,3.45E-05,1750366807,6.00199619,1750366807,2.12E-05,1750367002,3.48E-05,1750367002,6.00237209,1750367002,2.13E-05,3.46E-05,-2.39E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.01458902,1750366592,2.14E-05,1750366807,3.45E-05,1750366807,6.00516247,1750366807,2.12E-05,1750367002,3.48E-05,1750367002,6.00556729,1750367002,2.13E-05,3.46E-05,-2.38E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.0175818,1750366592,2.13E-05,1750366807,3.45E-05,1750366807,6.01330226,1750366807,2.12E-05,1750367002,3.48E-05,1750367002,6.01536974,1750367002,2.13E-05,3.46E-05,-2.39E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.020777,1750366592,2.14E-05,1750366807,3.45E-05,1750366807,6.01646854,1750366807,2.12E-05,1750367003,3.48E-05,1750367003,6.01843482,1750367002,2.13E-05,3.46E-05,-2.38E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.02413123,1750366592,2.14E-05,1750366807,3.45E-05,1750366807,6.01966374,1750366807,2.12E-05,1750367003,3.48E-05,1750367003,6.02165893,1750367002,2.13E-05,3.46E-05,-2.38E-01
2.13E-05,1750366592,3.45E-05,1750366592,6.02726859,1750366592,2.14E-05,1750366807,3.45E-05,1750366807,6.02267098,1750366807,2.12E-05,1750367003,3.48E-05,1750367003,6.02475292,1750367002,2.13E-05,3.46E-05,-2.38E-01
