power 1 (W),time (seconds since jan 1 1975),power 2 (W),time (seconds since jan 1 1975),Power Difference,Sdifference
1.59E-09,1749503100,1.35E-09,1749503100,0.00E+00,0.00E+00
1.61E-09,1749503100,1.35E-09,1749503100,2.00E-11,6.76E-03
1.60E-09,1749503100,1.35E-09,1749503100,1.00E-11,3.39E-03
1.60E-09,1749503100,1.35E-09,1749503100,1.00E-11,3.39E-03
1.60E-09,1749503100,1.35E-09,1749503100,1.00E-11,3.39E-03
1.59E-09,1749503101,1.35E-09,1749503101,0.00E+00,0.00E+00
1.59E-09,1749503101,1.34E-09,1749503101,1.00E-11,3.41E-03
1.60E-09,1749503101,1.34E-09,1749503101,2.00E-11,6.80E-03
1.60E-09,1749503101,1.34E-09,1749503101,2.00E-11,6.80E-03
1.60E-09,1749503101,1.33E-09,1749503101,3.00E-11,1.02E-02
1.60E-09,1749503101,1.33E-09,1749503101,3.00E-11,1.02E-02
1.60E-09,1749503101,1.33E-09,1749503101,3.00E-11,1.02E-02
1.61E-09,1749503101,1.33E-09,1749503101,4.00E-11,1.36E-02
1.60E-09,1749503101,1.34E-09,1749503101,2.00E-11,6.80E-03
1.61E-09,1749503101,1.34E-09,1749503101,3.00E-11,1.02E-02
1.60E-09,1749503101,1.34E-09,1749503101,2.00E-11,6.80E-03
1.60E-09,1749503101,1.35E-09,1749503101,1.00E-11,3.39E-03
1.60E-09,1749503101,1.35E-09,1749503101,1.00E-11,3.39E-03
1.60E-09,1749503101,1.36E-09,1749503101,0.00E+00,0.00E+00
1.59E-09,1749503102,1.36E-09,1749503101,-1.00E-11,-3.39E-03
1.60E-09,1749503102,1.36E-09,1749503102,0.00E+00,0.00E+00
1.60E-09,1749503102,1.36E-09,1749503102,0.00E+00,0.00E+00
1.61E-09,1749503102,1.36E-09,1749503102,1.00E-11,3.37E-03
1.61E-09,1749503102,1.36E-09,1749503102,1.00E-11,3.37E-03
1.60E-09,1749503102,1.35E-09,1749503102,1.00E-11,3.39E-03
1.60E-09,1749503102,1.34E-09,1749503102,2.00E-11,6.80E-03
1.60E-09,1749503102,1.34E-09,1749503102,2.00E-11,6.80E-03
1.59E-09,1749503102,1.33E-09,1749503102,2.00E-11,6.85E-03
1.59E-09,1749503102,1.33E-09,1749503102,2.00E-11,6.85E-03
1.58E-09,1749503102,1.33E-09,1749503102,1.00E-11,3.44E-03
1.59E-09,1749503102,1.33E-09,1749503102,2.00E-11,6.85E-03
1.59E-09,1749503102,1.33E-09,1749503102,2.00E-11,6.85E-03
1.59E-09,1749503103,1.33E-09,1749503102,2.00E-11,6.85E-03
1.58E-09,1749503103,1.33E-09,1749503102,1.00E-11,3.44E-03
1.57E-09,1749503103,1.33E-09,1749503102,0.00E+00,0.00E+00
1.58E-09,1749503103,1.34E-09,1749503103,0.00E+00,0.00E+00
1.57E-09,1749503103,1.34E-09,1749503103,-1.00E-11,-3.44E-03
1.56E-09,1749503103,1.34E-09,1749503103,-2.00E-11,-6.90E-03
1.56E-09,1749503103,1.34E-09,1749503103,-2.00E-11,-6.90E-03
1.57E-09,1749503103,1.35E-09,1749503103,-2.00E-11,-6.85E-03
1.57E-09,1749503103,1.35E-09,1749503103,-2.00E-11,-6.85E-03
1.58E-09,1749503103,1.35E-09,1749503103,-1.00E-11,-3.41E-03
1.57E-09,1749503103,1.35E-09,1749503103,-2.00E-11,-6.85E-03
1.57E-09,1749503103,1.35E-09,1749503103,-2.00E-11,-6.85E-03
1.57E-09,1749503103,1.35E-09,1749503103,-2.00E-11,-6.85E-03
1.58E-09,1749503103,1.34E-09,1749503103,0.00E+00,0.00E+00
1.58E-09,1749503104,1.34E-09,1749503103,0.00E+00,0.00E+00
1.58E-09,1749503104,1.34E-09,1749503103,0.00E+00,0.00E+00
1.58E-09,1749503104,1.34E-09,1749503103,0.00E+00,0.00E+00
1.58E-09,1749503104,1.34E-09,1749503103,0.00E+00,0.00E+00
1.58E-09,1749503104,1.33E-09,1749503104,1.00E-11,3.44E-03
1.58E-09,1749503104,1.33E-09,1749503104,1.00E-11,3.44E-03
1.58E-09,1749503104,1.33E-09,1749503104,1.00E-11,3.44E-03
1.58E-09,1749503104,1.33E-09,1749503104,1.00E-11,3.44E-03
1.58E-09,1749503104,1.33E-09,1749503104,1.00E-11,3.44E-03
1.58E-09,1749503104,1.33E-09,1749503104,1.00E-11,3.44E-03
1.58E-09,1749503104,1.33E-09,1749503104,1.00E-11,3.44E-03
1.57E-09,1749503104,1.33E-09,1749503104,0.00E+00,0.00E+00
