Time Stamp [s],Stokes 1,Stokes 2,Stokes 3,Azimuth [],Ellipticity [],Power Split Ratio,Phase Difference [],DOP [%],Power [dBm],Power [W]
0.00E+00,4.57E-01,-2.47E-01,8.55E-01,-1.42E+01,2.94E+01,7.28E-01,1.06E+02,3.13E+01,-3.11E+01,7.85E-07
3.00E-02,4.55E-01,-2.48E-01,8.55E-01,-1.43E+01,2.94E+01,7.28E-01,1.06E+02,3.13E+01,-3.10E+01,7.86E-07
6.00E-02,4.55E-01,-2.50E-01,8.55E-01,-1.44E+01,2.94E+01,7.27E-01,1.06E+02,3.13E+01,-3.10E+01,7.86E-07
9.00E-02,4.52E-01,-2.50E-01,8.56E-01,-1.45E+01,2.94E+01,7.26E-01,1.06E+02,3.12E+01,-3.10E+01,7.86E-07
1.20E-01,4.53E-01,-2.46E-01,8.57E-01,-1.42E+01,2.95E+01,7.27E-01,1.06E+02,3.13E+01,-3.11E+01,7.83E-07
1.50E-01,4.54E-01,-2.48E-01,8.56E-01,-1.43E+01,2.94E+01,7.27E-01,1.06E+02,3.13E+01,-3.11E+01,7.84E-07
1.80E-01,4.53E-01,-2.49E-01,8.56E-01,-1.44E+01,2.94E+01,7.26E-01,1.06E+02,3.12E+01,-3.11E+01,7.83E-07
2.10E-01,4.55E-01,-2.49E-01,8.55E-01,-1.43E+01,2.94E+01,7.27E-01,1.06E+02,3.13E+01,-3.11E+01,7.83E-07
2.40E-01,4.52E-01,-2.49E-01,8.57E-01,-1.44E+01,2.95E+01,7.26E-01,1.06E+02,3.12E+01,-3.11E+01,7.83E-07
2.70E-01,4.56E-01,-2.50E-01,8.54E-01,-1.43E+01,2.93E+01,7.28E-01,1.06E+02,3.11E+01,-3.11E+01,7.83E-07
3.00E-01,4.54E-01,-2.51E-01,8.55E-01,-1.45E+01,2.94E+01,7.27E-01,1.06E+02,3.12E+01,-3.11E+01,7.83E-07
3.30E-01,4.54E-01,-2.50E-01,8.55E-01,-1.44E+01,2.94E+01,7.27E-01,1.06E+02,3.12E+01,-3.11E+01,7.83E-07
3.60E-01,4.55E-01,-2.50E-01,8.55E-01,-1.44E+01,2.94E+01,7.27E-01,1.06E+02,3.12E+01,-3.11E+01,7.82E-07
3.90E-01,4.52E-01,-2.54E-01,8.55E-01,-1.47E+01,2.94E+01,7.26E-01,1.07E+02,3.11E+01,-3.11E+01,7.83E-07
4.20E-01,4.52E-01,-2.53E-01,8.55E-01,-1.46E+01,2.94E+01,7.26E-01,1.06E+02,3.11E+01,-3.11E+01,7.83E-07
4.50E-01,4.49E-01,-2.56E-01,8.56E-01,-1.48E+01,2.94E+01,7.25E-01,1.07E+02,3.10E+01,-3.11E+01,7.83E-07
4.80E-01,4.55E-01,-2.54E-01,8.54E-01,-1.46E+01,2.93E+01,7.27E-01,1.07E+02,3.11E+01,-3.11E+01,7.83E-07
5.10E-01,4.55E-01,-2.54E-01,8.54E-01,-1.46E+01,2.93E+01,7.27E-01,1.07E+02,3.11E+01,-3.11E+01,7.83E-07
5.40E-01,4.53E-01,-2.54E-01,8.55E-01,-1.46E+01,2.94E+01,7.26E-01,1.07E+02,3.11E+01,-3.11E+01,7.83E-07
5.70E-01,4.51E-01,-2.56E-01,8.55E-01,-1.48E+01,2.94E+01,7.26E-01,1.07E+02,3.11E+01,-3.11E+01,7.83E-07
6.00E-01,4.53E-01,-2.53E-01,8.55E-01,-1.46E+01,2.94E+01,7.27E-01,1.07E+02,3.11E+01,-3.11E+01,7.82E-07
6.30E-01,4.52E-01,-2.50E-01,8.56E-01,-1.45E+01,2.94E+01,7.26E-01,1.06E+02,3.11E+01,-3.11E+01,7.82E-07
6.60E-01,4.53E-01,-2.52E-01,8.55E-01,-1.46E+01,2.94E+01,7.26E-01,1.06E+02,3.11E+01,-3.11E+01,7.82E-07
6.90E-01,4.53E-01,-2.55E-01,8.55E-01,-1.47E+01,2.94E+01,7.26E-01,1.07E+02,3.11E+01,-3.11E+01,7.82E-07
7.20E-01,4.52E-01,-2.52E-01,8.56E-01,-1.45E+01,2.94E+01,7.26E-01,1.06E+02,3.10E+01,-3.11E+01,7.81E-07
7.50E-01,4.53E-01,-2.53E-01,8.55E-01,-1.46E+01,2.94E+01,7.27E-01,1.06E+02,3.11E+01,-3.11E+01,7.82E-07
7.80E-01,4.54E-01,-2.54E-01,8.54E-01,-1.46E+01,2.93E+01,7.27E-01,1.07E+02,3.10E+01,-3.11E+01,7.82E-07
8.10E-01,4.54E-01,-2.53E-01,8.54E-01,-1.45E+01,2.93E+01,7.27E-01,1.06E+02,3.10E+01,-3.11E+01,7.82E-07
8.40E-01,4.55E-01,-2.56E-01,8.53E-01,-1.47E+01,2.93E+01,7.28E-01,1.07E+02,3.10E+01,-3.11E+01,7.82E-07
8.70E-01,4.55E-01,-2.57E-01,8.53E-01,-1.47E+01,2.93E+01,7.27E-01,1.07E+02,3.10E+01,-3.11E+01,7.82E-07
9.00E-01,4.55E-01,-2.59E-01,8.52E-01,-1.48E+01,2.92E+01,7.27E-01,1.07E+02,3.10E+01,-3.11E+01,7.83E-07
9.30E-01,4.54E-01,-2.57E-01,8.53E-01,-1.48E+01,2.93E+01,7.27E-01,1.07E+02,3.09E+01,-3.11E+01,7.83E-07
9.60E-01,4.54E-01,-2.59E-01,8.53E-01,-1.49E+01,2.93E+01,7.27E-01,1.07E+02,3.09E+01,-3.11E+01,7.82E-07
9.90E-01,4.53E-01,-2.61E-01,8.52E-01,-1.50E+01,2.92E+01,7.27E-01,1.07E+02,3.09E+01,-3.11E+01,7.83E-07
1.02E+00,4.53E-01,-2.60E-01,8.53E-01,-1.49E+01,2.93E+01,7.27E-01,1.07E+02,3.08E+01,-3.11E+01,7.82E-07
