Difference,Equation,alpha(rad),beta(rad),gamma(rad),R^2,Linear?
0.0,Not linear,0.0,0.0,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.08267349088394192,0.0,0.0000,False
0.0,Not linear,0.0,0.16534698176788384,0.0,0.0000,False
0.0,Not linear,0.0,0.24802047265182575,0.0,0.0000,False
0.0,Not linear,0.0,0.3306939635357677,0.0,0.0000,False
0.0,Not linear,0.0,0.4133674544197096,0.0,-0.0000,False
0.0,Not linear,0.0,0.4960409453036515,0.0,0.0000,False
0.0,Not linear,0.0,0.5787144361875934,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.6613879270715354,0.0,0.0000,False
5.551115123125783e-17,Not linear,0.0,0.7440614179554773,0.0,-0.0000,False
-1.6653345369377348e-16,Not linear,0.0,0.8267349088394192,0.0,0.0000,False
1.6653345369377348e-16,Not linear,0.0,0.9094083997233612,0.0,0.0000,False
2.220446049250313e-16,Not linear,0.0,0.992081890607303,0.0,0.0000,False
0.0,Not linear,0.0,1.074755381491245,0.0,0.0000,False
0.0,Not linear,0.0,1.1574288723751869,0.0,0.0000,False
0.0,Not linear,0.0,1.2401023632591288,0.0,0.0000,False
0.0,Not linear,0.0,1.3227758541430708,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,1.4054493450270127,0.0,0.0000,False
0.0,Not linear,0.0,1.4881228359109546,0.0,0.0000,False
0.0,Not linear,0.0,1.5707963267948966,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.0,0.08267349088394192,0.0000,False
-0.0036962337385120225,Not linear,0.0,0.08267349088394192,0.08267349088394192,0.9398,False
-0.007291643855999785,Not linear,0.0,0.16534698176788384,0.08267349088394192,0.9398,False
-0.010688156936992654,Not linear,0.0,0.24802047265182575,0.08267349088394192,0.9398,False
-0.013793124958690228,Not linear,0.0,0.3306939635357677,0.08267349088394192,0.9398,False
-0.016521852487507926,Not linear,0.0,0.4133674544197096,0.08267349088394192,0.9398,False
-0.018799906949721334,Not linear,0.0,0.4960409453036515,0.08267349088394192,0.9398,False
-0.020565148958046064,Not linear,0.0,0.5787144361875934,0.08267349088394192,0.9398,False
-0.021769427312138045,Not linear,0.0,0.6613879270715354,0.08267349088394192,0.9398,False
-0.022379892437816074,Not linear,0.0,0.7440614179554773,0.08267349088394192,0.9398,False
-0.022379892437816004,Not linear,0.0,0.8267349088394192,0.08267349088394192,0.9398,False
0.021769427312137934,Not linear,0.0,0.9094083997233612,0.08267349088394192,0.9398,False
0.020565148958046398,Not linear,0.0,0.992081890607303,0.08267349088394192,0.9398,False
0.0187999069497215,Not linear,0.0,1.074755381491245,0.08267349088394192,0.9398,False
0.016521852487507926,Not linear,0.0,1.1574288723751869,0.08267349088394192,0.9398,False
0.013793124958690228,Not linear,0.0,1.2401023632591288,0.08267349088394192,0.9398,False
0.010688156936992765,Not linear,0.0,1.3227758541430708,0.08267349088394192,0.9398,False
0.007291643855999896,Not linear,0.0,1.4054493450270127,0.08267349088394192,0.9398,False
0.0036962337385122446,Not linear,0.0,1.4881228359109546,0.08267349088394192,0.9398,False
0.0,Not linear,0.0,1.5707963267948966,0.08267349088394192,0.0000,False
0.0,Not linear,0.0,0.0,0.16534698176788384,0.0000,False
-0.007291643855999785,Not linear,0.0,0.08267349088394192,0.16534698176788384,0.9398,False
-0.014384390675504788,Not linear,0.0,0.16534698176788384,0.16534698176788384,0.9398,False
-0.021084768814690014,Not linear,0.0,0.24802047265182575,0.16534698176788384,0.9398,False
-0.027210009424500692,Not linear,0.0,0.3306939635357677,0.16534698176788384,0.9398,False
-0.03259303190841156,Not linear,0.0,0.4133674544197096,0.16534698176788384,0.9398,False
-0.03708700144555421,Not linear,0.0,0.4960409453036515,0.16534698176788384,0.9398,False
-0.04056933426185916,Not linear,0.0,0.5787144361875934,0.16534698176788384,0.9398,False
-0.042945041395862193,Not linear,0.0,0.6613879270715354,0.16534698176788384,0.9398,False
-0.044149319749954175,Not linear,0.0,0.7440614179554773,0.16534698176788384,0.9398,False
-0.0441493197499539,Not linear,0.0,0.8267349088394192,0.16534698176788384,0.9398,False
-0.04294504139586243,Not linear,0.0,0.9094083997233612,0.16534698176788384,0.9398,False
0.04056933426185953,Not linear,0.0,0.992081890607303,0.16534698176788384,0.9398,False
0.037087001445554046,Not linear,0.0,1.074755381491245,0.16534698176788384,0.9398,False
0.03259303190841151,Not linear,0.0,1.1574288723751869,0.16534698176788384,0.9398,False
0.02721000942450058,Not linear,0.0,1.2401023632591288,0.16534698176788384,0.9398,False
0.021084768814690125,Not linear,0.0,1.3227758541430708,0.16534698176788384,0.9398,False
0.01438439067550501,Not linear,0.0,1.4054493450270127,0.16534698176788384,0.9398,False
0.007291643855999785,Not linear,0.0,1.4881228359109546,0.16534698176788384,0.9398,False
0.0,Not linear,0.0,1.5707963267948966,0.16534698176788384,0.0000,False
-2.220446049250313e-16,Not linear,0.0,0.0,0.24802047265182575,0.0000,False
-0.010688156936992654,Not linear,0.0,0.08267349088394192,0.24802047265182575,0.9398,False
-0.021084768814690014,Not linear,0.0,0.16534698176788384,0.24802047265182575,0.9398,False
-0.030906243163012714,Not linear,0.0,0.24802047265182575,0.24802047265182575,0.9398,False
-0.03988467576441135,Not linear,0.0,0.3306939635357677,0.24802047265182575,0.9398,False
-0.04777515838254698,Not linear,0.0,0.4133674544197096,0.24802047265182575,0.9398,False
-0.05436245922054972,Not linear,0.0,0.4960409453036515,0.24802047265182575,0.9398,False
-0.05946689388337034,Not linear,0.0,0.5787144361875934,0.24802047265182575,0.9398,False
-0.06294922669967518,Not linear,0.0,0.6613879270715354,0.24802047265182575,0.9398,False
-0.06471446870800007,Not linear,0.0,0.7440614179554773,0.24802047265182575,0.9398,False
-0.06471446870799974,Not linear,0.0,0.8267349088394192,0.24802047265182575,0.9398,False
-0.06294922669967562,Not linear,0.0,0.9094083997233612,0.24802047265182575,0.9398,False
-0.05946689388337001,Not linear,0.0,0.992081890607303,0.24802047265182575,0.9398,False
