Equation,alpha(rad),beta(rad),gamma(rad)
F = 17605.5*Sdiff + 87.446,0.682574448412267,5.499974882398844,6.265683398245938
F = 14661.2*Sdiff + -53.0965,0.7700839930805063,10.207988385550122,0.01750190893364787
F = 12840.1*Sdiff + -18.9847,0.7875859020141542,10.207988385550122,0.01750190893364787
F = 16913.9*Sdiff + -60.2632,0.7875859020141542,5.499974882398844,6.265683398245938
F = 11204.1*Sdiff + 13.2964,0.805087810947802,10.207988385550122,0.01750190893364787
F = 10863.5*Sdiff + -16.6934,0.805087810947802,5.499974882398844,6.265683398245938
F = 9847*Sdiff + 41.2827,0.8225897198814499,10.207988385550122,0.01750190893364787
F = 7868.11*Sdiff + 9.14339,0.8225897198814499,5.499974882398844,6.265683398245938
F = 8778.13*Sdiff + 64.3115,0.8400916288150978,10.207988385550122,0.01750190893364787
F = 6195.47*Sdiff + 23.9696,0.8400916288150978,5.499974882398844,6.265683398245938
F = 7968.04*Sdiff + 82.6882,0.8575935377487457,10.207988385550122,0.01750190893364787
F = 5188.5*Sdiff + 31.7473,0.8575935377487457,5.499974882398844,6.265683398245938
F = 7377.45*Sdiff + 97.0808,0.8750954466823936,10.207988385550122,0.01750190893364787
F = 4561.92*Sdiff + 34.4682,0.8750954466823936,5.499974882398844,6.265683398245938
F = 6970.19*Sdiff + 108.215,0.8925973556160414,10.207988385550122,0.01750190893364787
F = 4176.98*Sdiff + 33.1525,0.8925973556160414,5.499974882398844,6.265683398245938
F = 6717.24*Sdiff + 116.759,0.9100992645496893,10.207988385550122,0.01750190893364787
F = 3961.09*Sdiff + 28.3283,0.9100992645496893,5.499974882398844,6.265683398245938
F = 6598.49*Sdiff + 123.166,0.9276011734833371,10.207988385550122,0.01750190893364787
F = 3874.86*Sdiff + 20.2867,0.9276011734833371,5.499974882398844,6.265683398245938
F = 6605.43*Sdiff + 127.408,0.945103082416985,10.207988385550122,0.01750190893364787
F = 3896.73*Sdiff + 9.27617,0.945103082416985,5.499974882398844,6.265683398245938
F = 6732.37*Sdiff + 129.644,0.9626049913506329,10.207988385550122,0.01750190893364787
F = 4013.96*Sdiff + -4.24976,0.9626049913506329,5.499974882398844,6.265683398245938
F = 6976.21*Sdiff + 130.123,0.9801069002842808,10.207988385550122,0.01750190893364787
F = 4214.43*Sdiff + -19.1966,0.9801069002842808,5.499974882398844,6.265683398245938
F = 4339.41*Sdiff + -26.495,2.1527347988386882,10.207988385550122,0.01750190893364787
F = 7141.69*Sdiff + 129.78,2.1527347988386882,5.499974882398844,6.265683398245938
F = 4104.81*Sdiff + -11.6578,2.170236707772336,10.207988385550122,0.01750190893364787
F = 6839.77*Sdiff + 130.087,2.170236707772336,5.499974882398844,6.265683398245938
F = 3944.08*Sdiff + 2.78141,2.187738616705984,10.207988385550122,0.01750190893364787
F = 6654.16*Sdiff + 128.761,2.187738616705984,5.499974882398844,6.265683398245938
F = 3873.19*Sdiff + 15.1328,2.2052405256396317,10.207988385550122,0.01750190893364787
F = 6586.65*Sdiff + 125.552,2.2052405256396317,5.499974882398844,6.265683398245938
F = 3903.41*Sdiff + 24.6955,2.22274243457328,10.207988385550122,0.01750190893364787
F = 6641.73*Sdiff + 120.233,2.22274243457328,5.499974882398844,6.265683398245938
F = 4050.92*Sdiff + 31.1575,2.2402443435069275,10.207988385550122,0.01750190893364787
F = 6825.95*Sdiff + 112.772,2.2402443435069275,5.499974882398844,6.265683398245938
F = 4344.82*Sdiff + 34.274,2.257746252440575,10.207988385550122,0.01750190893364787
F = 7152.9*Sdiff + 103.012,2.257746252440575,5.499974882398844,6.265683398245938
F = 4838.47*Sdiff + 33.6606,2.2752481613742233,10.207988385550122,0.01750190893364787
F = 7647.72*Sdiff + 90.3365,2.2752481613742233,5.499974882398844,6.265683398245938
F = 5631.56*Sdiff + 28.584,2.292750070307871,10.207988385550122,0.01750190893364787
F = 8343.18*Sdiff + 74.0433,2.292750070307871,5.499974882398844,6.265683398245938
F = 6920.74*Sdiff + 17.6222,2.310251979241519,10.207988385550122,0.01750190893364787
F = 9277.9*Sdiff + 53.4117,2.310251979241519,5.499974882398844,6.265683398245938
F = 9131.8*Sdiff + -2.03182,2.3277538881751667,10.207988385550122,0.01750190893364787
F = 10488.7*Sdiff + 27.8999,2.3277538881751667,5.499974882398844,6.265683398245938
F = 13316*Sdiff + -35.853,2.345255797108815,10.207988385550122,0.01750190893364787
F = 11990.5*Sdiff + -2.40964,2.345255797108815,5.499974882398844,6.265683398245938
F = 13738*Sdiff + -36.0548,2.3627577060424625,5.499974882398844,6.265683398245938
F = 15578.7*Sdiff + -69.462,2.3802596149761106,5.499974882398844,6.265683398245938
F = 17838.7*Sdiff + 109.288,2.4502672507107017,10.207988385550122,0.01750190893364787
F = 17838.7*Sdiff + 109.288,3.8329180564688836,5.499974882398844,6.265683398245938
F = 15578.7*Sdiff + -69.462,3.902925692203475,10.207988385550122,0.01750190893364787
F = 13738*Sdiff + -36.0548,3.9204276011371233,10.207988385550122,0.01750190893364787
F = 11990.5*Sdiff + -2.40964,3.937929510070771,10.207988385550122,0.01750190893364787
F = 13316*Sdiff + -35.853,3.937929510070771,5.499974882398844,6.265683398245938
F = 10488.7*Sdiff + 27.8999,3.9554314190044186,10.207988385550122,0.01750190893364787
F = 9131.8*Sdiff + -2.03182,3.9554314190044186,5.499974882398844,6.265683398245938
F = 9277.9*Sdiff + 53.4117,3.9729333279380667,10.207988385550122,0.01750190893364787
F = 6920.74*Sdiff + 17.6222,3.9729333279380667,5.499974882398844,6.265683398245938
F = 8343.18*Sdiff + 74.0433,3.9904352368717144,10.207988385550122,0.01750190893364787
F = 5631.56*Sdiff + 28.584,3.9904352368717144,5.499974882398844,6.265683398245938
F = 7647.72*Sdiff + 90.3365,4.0079371458053625,10.207988385550122,0.01750190893364787
F = 4838.47*Sdiff + 33.6606,4.0079371458053625,5.499974882398844,6.265683398245938
F = 7152.9*Sdiff + 103.012,4.02543905473901,10.207988385550122,0.01750190893364787
F = 4344.82*Sdiff + 34.274,4.02543905473901,5.499974882398844,6.265683398245938
F = 6825.95*Sdiff + 112.772,4.042940963672658,10.207988385550122,0.01750190893364787
F = 4050.92*Sdiff + 31.1575,4.042940963672658,5.499974882398844,6.265683398245938
F = 6641.73*Sdiff + 120.233,4.060442872606306,10.207988385550122,0.01750190893364787
