Equation,alpha(rad),beta(rad),gamma(rad)
F = 6642.28*Sdiff + -11.9704,0.682574448412267,4.764894707185634,3.9204276011371233
F = 17605.5*Sdiff + 87.446,0.682574448412267,4.729890889318337,5.495599405165431
F = 6642.28*Sdiff + -11.9704,0.682574448412267,7.075146686427152,6.230679580378642
F = 17605.5*Sdiff + 87.446,0.682574448412267,5.499974882398844,6.265683398245938
F = 849.669*Sdiff + -39.6121,0.7000763573459148,6.882625688157026,0.6300687216113233
F = 1361.83*Sdiff + -31.2985,0.7000763573459148,7.110150504294448,1.2776393521562945
F = 919.596*Sdiff + -42.7638,0.7000763573459148,8.545307036853574,2.0652252541704486
F = 849.963*Sdiff + -40.4331,0.7000763573459148,5.342457701996013,2.170236707772336
F = 2111.36*Sdiff + -54.9089,0.7000763573459148,7.67021159017118,2.3802596149761106
F = 1371.54*Sdiff + -48.2081,0.7000763573459148,5.990028332540984,2.3977615239097583
F = 919.596*Sdiff + -42.7638,0.7000763573459148,8.930349033393828,2.4502672507107017
F = 2084.74*Sdiff + -24.6346,0.7000763573459148,7.0926485953608,2.9578226097864904
F = 2111.36*Sdiff + -54.9089,0.7000763573459148,8.615314672588164,3.3253626973930954
F = 917.451*Sdiff + -37.2018,0.7000763573459148,6.777614234555138,3.8329180564688836
F = 1361.83*Sdiff + -31.2985,0.7000763573459148,9.71793493540798,3.8854237832698275
F = 2084.74*Sdiff + -24.6346,0.7000763573459148,8.037751677777784,3.902925692203475
F = 6926.2*Sdiff + 19.4049,0.7000763573459148,4.764894707185634,3.9204276011371233
F = 849.669*Sdiff + -39.6121,0.7000763573459148,10.365505565952953,4.112948599407249
F = 917.451*Sdiff + -37.2018,0.7000763573459148,7.162656231095392,4.217960053009137
F = 1371.54*Sdiff + -48.2081,0.7000763573459148,8.597812763654517,5.005545955023291
F = 849.963*Sdiff + -40.4331,0.7000763573459148,8.825337579791938,5.653116585568262
F = 6926.2*Sdiff + 19.4049,0.7000763573459148,7.075146686427152,6.230679580378642
F = 7506.56*Sdiff + -74.731,0.7175782662795627,8.632816581521812,0.05250572680094361
F = 916.514*Sdiff + -17.4239,0.7175782662795627,6.882625688157026,0.6300687216113233
