power 2 (W),time (seconds since jan 1 1975)
-3.51e-12,1784836564.5258653
-3.31e-12,1784836564.5929534
-3.57e-12,1784836564.658927
-3.79e-12,1784836564.7258909
-3.64e-12,1784836564.7928545
-3.69e-12,1784836564.8589
-3.51e-12,1784836564.9258547
-3.5e-12,1784836564.993257
-3.48e-12,1784836565.058906
-3.53e-12,1784836565.1258693
-3.62e-12,1784836565.192901
-3.51e-12,1784836565.2588909
-3.58e-12,1784836565.3260863
-3.37e-12,1784836565.393064
-3.72e-12,1784836565.4588773
-3.73e-12,1784836565.5258915
-3.51e-12,1784836565.5930836
-3.23e-12,1784836565.659038
-3.48e-12,1784836565.72598
-3.78e-12,1784836565.791829
-3.34e-12,1784836565.858874
-3.71e-12,1784836565.9260576
-3.72e-12,1784836565.9919722
-3.24e-12,1784836566.0588636
-3.75e-12,1784836566.1258788
-3.77e-12,1784836566.1919775
-3.73e-12,1784836566.2592332
-3.45e-12,1784836566.3258755
-3.9e-12,1784836566.3918724
-3.47e-12,1784836566.4590516
-3.5e-12,1784836566.5258584
-3.72e-12,1784836566.5919554
-3.39e-12,1784836566.6590848
-3.77e-12,1784836566.7258549
-3.56e-12,1784836566.7921042
-3.38e-12,1784836566.8589597
-3.24e-12,1784836566.9260442
-3.33e-12,1784836566.9918582
-3.52e-12,1784836567.058915
-3.55e-12,1784836567.126266
-3.47e-12,1784836567.1920476
-3.44e-12,1784836567.25911
-3.67e-12,1784836567.3249612
-3.58e-12,1784836567.391874
-3.38e-12,1784836567.458934
-3.72e-12,1784836567.5248733
-3.46e-12,1784836567.592095
-3.47e-12,1784836567.6592333
-3.12e-12,1784836567.7250865
-3.42e-12,1784836567.792034
-3.22e-12,1784836567.8589182
-3.46e-12,1784836567.9248877
-3.58e-12,1784836567.992295
-3.31e-12,1784836568.0588324
-3.21e-12,1784836568.1249206
-3.72e-12,1784836568.1918812
-3.48e-12,1784836568.2588835
-3.45e-12,1784836568.3252814
-3.5e-12,1784836568.3918786
-3.57e-12,1784836568.458862
-3.67e-12,1784836568.524867
-3.26e-12,1784836568.5918832
-3.61e-12,1784836568.6633954
-3.34e-12,1784836568.7248669
-3.33e-12,1784836568.7918599
-3.44e-12,1784836568.8578627
-3.54e-12,1784836568.9248843
-3.69e-12,1784836568.9918587
-3.65e-12,1784836569.0578635
-3.44e-12,1784836569.1249135
-3.51e-12,1784836569.191907
-3.55e-12,1784836569.2578812
-3.81e-12,1784836569.3248663
-3.59e-12,1784836569.3918931
-3.38e-12,1784836569.4578567
-3.42e-12,1784836569.5249293
-3.36e-12,1784836569.5918705
-3.34e-12,1784836569.6578662
-3.6e-12,1784836569.724834
-3.51e-12,1784836569.7918875
-3.62e-12,1784836569.8578615
-3.79e-12,1784836569.92489
-3.71e-12,1784836569.9918602
-3.56e-12,1784836570.0579355
-3.61e-12,1784836570.1248536
-3.37e-12,1784836570.1918848
-3.31e-12,1784836570.2578824
-3.49e-12,1784836570.3248808
-3.72e-12,1784836570.3908377
-3.59e-12,1784836570.4578757
-3.49e-12,1784836570.5248435
-3.49e-12,1784836570.59087
-3.46e-12,1784836570.6578643
-3.44e-12,1784836570.724851
-3.35e-12,1784836570.7908938
-3.31e-12,1784836570.8578346
-3.63e-12,1784836570.9248483
-3.83e-12,1784836570.9909022
-3.59e-12,1784836571.057871
-3.47e-12,1784836571.1249125
-3.46e-12,1784836571.1909158
-3.51e-12,1784836571.257887
-3.34e-12,1784836571.3248591
-3.5e-12,1784836571.3908756
-3.61e-12,1784836571.4579287
-3.82e-12,1784836571.524844
-3.48e-12,1784836571.5908973
-3.44e-12,1784836571.657881
-3.7e-12,1784836571.7248406
-3.51e-12,1784836571.7908666
-3.64e-12,1784836571.8578455
-3.45e-12,1784836571.9238412
-4.08e-12,1784836571.9909
-4.01e-12,1784836572.0578692
-3.54e-12,1784836572.123862
-3.6e-12,1784836572.1909246
-3.92e-12,1784836572.2578437
-3.61e-12,1784836572.3238451
-3.61e-12,1784836572.3909056
-3.32e-12,1784836572.4578416
-3.41e-12,1784836572.5238686
-3.62e-12,1784836572.5908864
-3.37e-12,1784836572.6579077
-3.63e-12,1784836572.7238493
-3.44e-12,1784836572.7908504
-3.72e-12,1784836572.8579013
-3.46e-12,1784836572.9238782
-3.69e-12,1784836572.9908667
-3.87e-12,1784836573.0578873
-3.5e-12,1784836573.1238267
-3.36e-12,1784836573.1908638
-3.51e-12,1784836573.2578368
-3.39e-12,1784836573.3239172
-3.21e-12,1784836573.390888
-3.27e-12,1784836573.456834
-3.34e-12,1784836573.5238662
-3.24e-12,1784836573.5908532
-3.47e-12,1784836573.6568768
-3.61e-12,1784836573.723851
-3.65e-12,1784836573.7908332
-3.46e-12,1784836573.856884
-3.69e-12,1784836573.9238887
-3.46e-12,1784836573.9908493
-3.49e-12,1784836574.05685
-3.38e-12,1784836574.1239293
-3.46e-12,1784836574.1908839
-3.61e-12,1784836574.2568433
-3.44e-12,1784836574.323828
-3.28e-12,1784836574.3908753
