Time[date hh:mm:ss], Elapsed Time [hh:mm:ss:ms], Normalized s 1 , Normalized s 2 , Normalized s 3 , S 0 [mW], S 1 [mW], S 2 [mW], S 3 [mW], Azimuth[°] , Ellipticity[°] , DOP[%] , DOCP[%] , DOLP[%] , Power[mW] , Pol Power[mW] , Unpol Power[mW] , Power[dBm] , Pol Power[dBm] , Unpol Power[dBm] , Power-Split-Ratio , Phase Difference[°] ,
47:52.9,0.00:06:08:288,-0.94,-0.13,-0.31,0.02448,-0.01436,-0.001981,-0.004805,-86.07,-9.17,62.4,19.63,59.23,0.02448,0.01528,0.009205,-16.112,-18.16,-20.36,0.03,-112.4,
47:52.9,0.00:06:08:319,-0.94,-0.13,-0.31,0.02447,-0.01436,-0.001969,-0.004804,-86.1,-9.17,62.39,19.63,59.22,0.02447,0.01527,0.009204,-16.113,-18.162,-20.36,0.03,-112.29,
47:53.0,0.00:06:08:366,-0.94,-0.13,-0.31,0.02446,-0.01434,-0.001969,-0.004802,-86.09,-9.18,62.36,19.64,59.19,0.02446,0.01525,0.009205,-16.116,-18.167,-20.36,0.03,-112.3,
47:53.0,0.00:06:08:397,-0.94,-0.13,-0.31,0.02446,-0.01435,-0.001972,-0.004798,-86.09,-9.16,62.39,19.61,59.22,0.02446,0.01526,0.009201,-16.115,-18.164,-20.362,0.03,-112.34,
47:53.1,0.00:06:08:429,-0.94,-0.13,-0.31,0.02446,-0.01435,-0.001972,-0.004797,-86.09,-9.16,62.38,19.61,59.22,0.02446,0.01526,0.0092,-16.116,-18.165,-20.362,0.03,-112.35,
47:53.1,0.00:06:08:460,-0.94,-0.13,-0.31,0.02445,-0.01435,-0.001973,-0.004797,-86.08,-9.16,62.38,19.61,59.21,0.02445,0.01525,0.009201,-16.116,-18.166,-20.362,0.03,-112.36,
47:53.1,0.00:06:08:493,-0.94,-0.13,-0.31,0.02445,-0.01434,-0.001976,-0.004795,-86.08,-9.17,62.36,19.61,59.19,0.02445,0.01525,0.009203,-16.117,-18.168,-20.361,0.03,-112.4,
47:53.2,0.00:06:08:525,-0.94,-0.13,-0.31,0.02444,-0.01433,-0.00197,-0.004792,-86.09,-9.17,62.34,19.61,59.18,0.02444,0.01524,0.009203,-16.119,-18.171,-20.361,0.03,-112.34, Warning
47:53.2,0.00:06:08:556,-0.94,-0.13,-0.31,0.02445,-0.01434,-0.001974,-0.004785,-86.08,-9.14,62.37,19.57,59.22,0.02445,0.01525,0.0092,-16.118,-18.168,-20.362,0.03,-112.42,
47:53.2,0.00:06:08:603,-0.94,-0.13,-0.31,0.02445,-0.01433,-0.00199,-0.004785,-86.05,-9.15,62.35,19.57,59.2,0.02445,0.01524,0.009204,-16.118,-18.169,-20.36,0.03,-112.58,
47:53.3,0.00:06:08:634,-0.94,-0.13,-0.31,0.02445,-0.01434,-0.001982,-0.004782,-86.07,-9.14,62.37,19.56,59.22,0.02445,0.01525,0.009201,-16.117,-18.168,-20.362,0.03,-112.51,
47:53.3,0.00:06:08:666,-0.94,-0.13,-0.31,0.02445,-0.01433,-0.001983,-0.004778,-86.06,-9.14,62.33,19.54,59.19,0.02445,0.01524,0.00921,-16.117,-18.17,-20.357,0.03,-112.54,
47:53.3,0.00:06:08:698,-0.94,-0.13,-0.31,0.02445,-0.01433,-0.00199,-0.004778,-86.05,-9.13,62.34,19.54,59.2,0.02445,0.01524,0.009206,-16.118,-18.17,-20.359,0.03,-112.62,
47:53.4,0.00:06:08:729,-0.94,-0.13,-0.31,0.02445,-0.01434,-0.001987,-0.004774,-86.05,-9.13,62.35,19.53,59.21,0.02445,0.01524,0.009203,-16.118,-18.17,-20.361,0.03,-112.6,
47:53.4,0.00:06:08:761,-0.94,-0.13,-0.31,0.02444,-0.01434,-0.001973,-0.004775,-86.08,-9.13,62.34,19.53,59.2,0.02444,0.01524,0.009206,-16.118,-18.171,-20.359,0.03,-112.45,
47:53.4,0.00:06:08:792,-0.94,-0.13,-0.31,0.02445,-0.01434,-0.001982,-0.00477,-86.07,-9.12,62.35,19.51,59.22,0.02445,0.01525,0.009206,-16.117,-18.169,-20.359,0.03,-112.57,
47:53.5,0.00:06:08:823,-0.94,-0.13,-0.31,0.02444,-0.01433,-0.001969,-0.00477,-86.09,-9.12,62.32,19.51,59.19,0.02444,0.01523,0.009209,-16.119,-18.172,-20.358,0.03,-112.43,
47:53.5,0.00:06:08:870,-0.94,-0.13,-0.31,0.02445,-0.01434,-0.001983,-0.004768,-86.06,-9.11,62.35,19.5,59.22,0.02445,0.01524,0.009205,-16.117,-18.169,-20.36,0.03,-112.58,
47:53.5,0.00:06:08:901,-0.94,-0.13,-0.31,0.02445,-0.01435,-0.001974,-0.004764,-86.08,-9.11,62.36,19.49,59.24,0.02445,0.01525,0.009202,-16.118,-18.169,-20.361,0.03,-112.5,
47:53.6,0.00:06:08:932,-0.94,-0.13,-0.31,0.02444,-0.01434,-0.001971,-0.004767,-86.09,-9.11,62.35,19.5,59.22,0.02444,0.01524,0.009203,-16.119,-18.17,-20.361,0.03,-112.46,
