Trial 1power 1 (W),time (seconds since jan 1 1975),Trial 1power 2 (W),Sdifference
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366592,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366593,3.45E-05,-2.37E-01
2.13E-05,1750366594,3.45E-05,-2.37E-01
2.13E-05,1750366594,3.45E-05,-2.37E-01
2.13E-05,1750366594,3.46E-05,-2.38E-01
2.13E-05,1750366594,3.46E-05,-2.38E-01
2.13E-05,1750366594,3.46E-05,-2.38E-01
2.13E-05,1750366594,3.46E-05,-2.38E-01
2.13E-05,1750366594,3.46E-05,-2.38E-01
2.13E-05,1750366594,3.47E-05,-2.39E-01
2.12E-05,1750366594,3.47E-05,-2.42E-01
2.12E-05,1750366594,3.47E-05,-2.42E-01
2.12E-05,1750366594,3.47E-05,-2.42E-01
2.12E-05,1750366594,3.47E-05,-2.42E-01
2.12E-05,1750366594,3.47E-05,-2.42E-01
2.12E-05,1750366594,3.47E-05,-2.42E-01
2.12E-05,1750366595,3.47E-05,-2.42E-01
2.12E-05,1750366595,3.47E-05,-2.42E-01
2.12E-05,1750366595,3.47E-05,-2.42E-01
2.12E-05,1750366595,3.47E-05,-2.42E-01
2.12E-05,1750366595,3.47E-05,-2.42E-01
2.12E-05,1750366595,3.47E-05,-2.42E-01
2.12E-05,1750366595,3.46E-05,-2.40E-01
2.12E-05,1750366595,3.46E-05,-2.40E-01
2.11E-05,1750366595,3.46E-05,-2.42E-01
2.12E-05,1750366595,3.46E-05,-2.40E-01
2.11E-05,1750366595,3.46E-05,-2.42E-01
2.11E-05,1750366595,3.46E-05,-2.42E-01
2.11E-05,1750366595,3.46E-05,-2.42E-01
2.11E-05,1750366595,3.46E-05,-2.42E-01
2.11E-05,1750366595,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366596,3.46E-05,-2.42E-01
2.11E-05,1750366597,3.46E-05,-2.42E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366597,3.47E-05,-2.44E-01
2.11E-05,1750366598,3.47E-05,-2.44E-01
2.11E-05,1750366598,3.47E-05,-2.44E-01
2.11E-05,1750366598,3.47E-05,-2.44E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.46E-05,-2.42E-01
2.11E-05,1750366598,3.45E-05,-2.41E-01
2.11E-05,1750366598,3.45E-05,-2.41E-01
2.11E-05,1750366598,3.45E-05,-2.41E-01
2.11E-05,1750366599,3.46E-05,-2.42E-01
2.11E-05,1750366599,3.45E-05,-2.41E-01
2.11E-05,1750366599,3.45E-05,-2.41E-01
2.11E-05,1750366599,3.45E-05,-2.41E-01
2.11E-05,1750366599,3.45E-05,-2.41E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366599,3.46E-05,-2.40E-01
2.12E-05,1750366599,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
2.12E-05,1750366600,3.45E-05,-2.39E-01
