Trial 2power 1 (W),time (seconds since jan 1 1975),Trial 2power 2 (W),time (seconds since jan 1 1975),Sdifference
2.14E-05,1750366807,3.45E-05,1750366807,-2.34E-01
2.13E-05,1750366807,3.45E-05,1750366807,-2.37E-01
2.13E-05,1750366807,3.45E-05,1750366807,-2.37E-01
2.13E-05,1750366807,3.45E-05,1750366807,-2.37E-01
2.13E-05,1750366807,3.45E-05,1750366807,-2.37E-01
2.14E-05,1750366807,3.45E-05,1750366807,-2.34E-01
2.13E-05,1750366807,3.45E-05,1750366807,-2.37E-01
2.14E-05,1750366807,3.45E-05,1750366807,-2.34E-01
2.14E-05,1750366807,3.45E-05,1750366807,-2.34E-01
2.14E-05,1750366807,3.45E-05,1750366807,-2.34E-01
2.14E-05,1750366807,3.45E-05,1750366807,-2.34E-01
2.14E-05,1750366807,3.45E-05,1750366807,-2.34E-01
2.13E-05,1750366808,3.45E-05,1750366807,-2.37E-01
2.14E-05,1750366808,3.45E-05,1750366808,-2.34E-01
2.13E-05,1750366808,3.46E-05,1750366808,-2.38E-01
2.13E-05,1750366808,3.46E-05,1750366808,-2.38E-01
2.13E-05,1750366808,3.46E-05,1750366808,-2.38E-01
2.12E-05,1750366808,3.46E-05,1750366808,-2.40E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366808,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366809,3.47E-05,1750366808,-2.42E-01
2.12E-05,1750366809,3.47E-05,1750366809,-2.42E-01
2.12E-05,1750366809,3.48E-05,1750366809,-2.43E-01
2.12E-05,1750366809,3.48E-05,1750366809,-2.43E-01
2.12E-05,1750366809,3.48E-05,1750366809,-2.43E-01
2.12E-05,1750366809,3.48E-05,1750366809,-2.43E-01
2.12E-05,1750366809,3.48E-05,1750366809,-2.43E-01
2.12E-05,1750366809,3.48E-05,1750366809,-2.43E-01
2.12E-05,1750366809,3.48E-05,1750366809,-2.43E-01
2.12E-05,1750366809,3.49E-05,1750366809,-2.44E-01
2.12E-05,1750366809,3.48E-05,1750366809,-2.43E-01
2.12E-05,1750366809,3.49E-05,1750366809,-2.44E-01
2.12E-05,1750366809,3.49E-05,1750366809,-2.44E-01
