power 1 (W),time (seconds since jan 1 1975),power 2 (W),time (seconds since jan 1 1975),,,
2.11E-05,1750367200,3.47E-05,1750367200,-2.44E-01,,
2.11E-05,1750367201,3.47E-05,1750367201,-2.44E-01,,
2.11E-05,1750367201,3.47E-05,1750367201,-2.44E-01,,
2.11E-05,1750367201,3.47E-05,1750367201,-2.44E-01,,
2.11E-05,1750367201,3.47E-05,1750367201,-2.44E-01,,
2.11E-05,1750367201,3.47E-05,1750367201,-2.44E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367201,3.47E-05,1750367201,-2.42E-01,,
2.12E-05,1750367202,3.47E-05,1750367202,-2.42E-01,,
2.12E-05,1750367202,3.47E-05,1750367202,-2.42E-01,,
2.12E-05,1750367202,3.47E-05,1750367202,-2.42E-01,,
2.13E-05,1750367202,3.47E-05,1750367202,-2.39E-01,,
2.13E-05,1750367202,3.47E-05,1750367202,-2.39E-01,,
2.13E-05,1750367202,3.47E-05,1750367202,-2.39E-01,,
2.13E-05,1750367202,3.47E-05,1750367202,-2.39E-01,,
2.12E-05,1750367202,3.47E-05,1750367202,-2.42E-01,,
2.13E-05,1750367202,3.47E-05,1750367202,-2.39E-01,,
2.12E-05,1750367202,3.47E-05,1750367202,-2.42E-01,,
2.12E-05,1750367202,3.47E-05,1750367202,-2.42E-01,,
2.12E-05,1750367202,3.47E-05,1750367202,-2.42E-01,,
2.12E-05,1750367202,3.48E-05,1750367202,-2.43E-01,,
2.12E-05,1750367202,3.48E-05,1750367202,-2.43E-01,,
2.12E-05,1750367202,3.48E-05,1750367203,-2.43E-01,,
2.12E-05,1750367203,3.48E-05,1750367203,-2.43E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
2.12E-05,1750367203,3.49E-05,1750367203,-2.44E-01,,
