power 1 (W),time (seconds since jan 1 1975),power 2 (W),time (seconds since jan 1 1975),Sdifference
4.00E-08,1750113436,3.73E-08,1750113436,3.45E-02
3.98E-08,1750113436,3.75E-08,1750113436,2.94E-02
3.95E-08,1750113436,3.78E-08,1750113436,2.24E-02
3.92E-08,1750113437,3.80E-08,1750113437,1.49E-02
3.89E-08,1750113437,3.83E-08,1750113437,8.24E-03
3.87E-08,1750113437,3.84E-08,1750113437,3.19E-03
3.85E-08,1750113437,3.85E-08,1750113437,9.35E-05
3.84E-08,1750113437,3.85E-08,1750113437,-1.50E-03
3.84E-08,1750113437,3.85E-08,1750113437,-1.81E-03
3.84E-08,1750113437,3.85E-08,1750113437,-1.91E-03
3.84E-08,1750113437,3.85E-08,1750113437,-1.98E-03
3.84E-08,1750113437,3.86E-08,1750113437,-2.11E-03
3.84E-08,1750113437,3.85E-08,1750113437,-1.81E-03
3.84E-08,1750113437,3.85E-08,1750113437,-3.12E-04
3.85E-08,1750113437,3.84E-08,1750113437,1.48E-03
3.86E-08,1750113437,3.82E-08,1750113437,5.31E-03
3.89E-08,1750113437,3.80E-08,1750113437,1.10E-02
3.92E-08,1750113437,3.76E-08,1750113438,2.06E-02
3.95E-08,1750113438,3.74E-08,1750113438,2.68E-02
3.98E-08,1750113438,3.74E-08,1750113438,3.18E-02
4.00E-08,1750113438,3.73E-08,1750113438,3.51E-02
4.02E-08,1750113438,3.73E-08,1750113438,3.72E-02
4.03E-08,1750113438,3.73E-08,1750113438,3.78E-02
4.03E-08,1750113438,3.74E-08,1750113438,3.77E-02
4.03E-08,1750113438,3.74E-08,1750113438,3.70E-02
4.03E-08,1750113438,3.74E-08,1750113438,3.71E-02
4.04E-08,1750113438,3.74E-08,1750113438,3.75E-02
4.04E-08,1750113438,3.75E-08,1750113438,3.75E-02
4.05E-08,1750113438,3.75E-08,1750113438,3.79E-02
4.04E-08,1750113438,3.75E-08,1750113438,3.67E-02
4.02E-08,1750113438,3.76E-08,1750113438,3.39E-02
3.99E-08,1750113438,3.75E-08,1750113438,3.09E-02
3.95E-08,1750113438,3.73E-08,1750113439,2.87E-02
3.93E-08,1750113439,3.71E-08,1750113439,2.85E-02
3.90E-08,1750113439,3.68E-08,1750113439,2.93E-02
3.86E-08,1750113439,3.65E-08,1750113439,2.79E-02
3.84E-08,1750113439,3.62E-08,1750113439,2.96E-02
3.77E-08,1750113439,3.61E-08,1750113439,2.09E-02
3.73E-08,1750113439,3.61E-08,1750113439,1.61E-02
3.70E-08,1750113439,3.60E-08,1750113439,1.27E-02
3.68E-08,1750113439,3.61E-08,1750113439,9.52E-03
3.66E-08,1750113439,3.61E-08,1750113439,7.41E-03
3.65E-08,1750113439,3.61E-08,1750113439,6.10E-03
3.65E-08,1750113439,3.61E-08,1750113439,4.90E-03
3.65E-08,1750113439,3.63E-08,1750113439,2.90E-03
3.62E-08,1750113440,3.64E-08,1750113440,-2.66E-03
3.61E-08,1750113440,3.65E-08,1750113440,-5.48E-03
3.61E-08,1750113440,3.67E-08,1750113440,-8.37E-03
3.59E-08,1750113440,3.68E-08,1750113440,-1.23E-02
3.58E-08,1750113440,3.69E-08,1750113440,-1.55E-02
3.58E-08,1750113440,3.70E-08,1750113440,-1.72E-02
3.57E-08,1750113440,3.71E-08,1750113440,-1.81E-02
3.58E-08,1750113440,3.71E-08,1750113440,-1.85E-02
3.58E-08,1750113440,3.72E-08,1750113440,-1.85E-02
3.59E-08,1750113440,3.72E-08,1750113440,-1.81E-02
3.59E-08,1750113440,3.72E-08,1750113440,-1.73E-02
3.60E-08,1750113440,3.73E-08,1750113440,-1.72E-02
3.60E-08,1750113440,3.73E-08,1750113440,-1.79E-02
3.60E-08,1750113440,3.74E-08,1750113440,-1.88E-02
3.60E-08,1750113440,3.75E-08,1750113440,-1.97E-02
3.60E-08,1750113441,3.75E-08,1750113441,-2.12E-02
3.59E-08,1750113441,3.76E-08,1750113441,-2.34E-02
3.58E-08,1750113441,3.77E-08,1750113441,-2.53E-02
3.58E-08,1750113441,3.78E-08,1750113441,-2.69E-02
3.57E-08,1750113441,3.78E-08,1750113441,-2.78E-02
3.57E-08,1750113441,3.78E-08,1750113441,-2.75E-02
3.58E-08,1750113441,3.77E-08,1750113441,-2.60E-02
3.60E-08,1750113441,3.77E-08,1750113441,-2.40E-02
3.61E-08,1750113441,3.77E-08,1750113441,-2.17E-02
3.63E-08,1750113441,3.77E-08,1750113441,-1.91E-02
3.65E-08,1750113441,3.77E-08,1750113441,-1.67E-02
3.67E-08,1750113441,3.77E-08,1750113441,-1.43E-02
3.68E-08,1750113441,3.77E-08,1750113441,-1.22E-02
3.70E-08,1750113441,3.77E-08,1750113441,-8.75E-03
3.73E-08,1750113441,3.76E-08,1750113441,-2.99E-03
